CountryName,CountryCode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Czech Republic,CZE,0,0.012023234,0.044996981,0.135784868,0.294173605,0.472956237,1.939566548,5.104522953,9.381611565,18.93412681,42.3984415,67.90006485,84.29721942,95.14729054,105.6300232,115.1035371,120.7427007,127.9639191,132.350961,124.5668165,122.5551112,124.0943746,126.8464851,128.1914358,129.539048,115.5656089,115.4745669
Germany,DEU,0.338698748,0.656885288,1.190674527,2.157949827,3.009651998,4.479975831,6.609990079,9.912481627,16.66213257,28.08210875,57.71833398,67.14964818,70.65529898,77.33760059,85.06020667,94.55486999,102.2828888,115.1403608,126.5575074,126.2280577,106.4836959,109.6595675,111.5940398,120.9211651,120.4201855,116.7122833,114.5288178
Djibouti,DJI,0,0,0,0,0,0,0.016274814,0.029510232,0.031432074,0.039345073,0.031816868,0.408868633,2.014953643,3.046014687,4.50288335,5.672656567,5.690729661,8.70663211,13.93013208,15.66875338,19.85681673,22.80161957,24.71558258,27.96586676,32.38686559,34.94105538,37.8178544
Dominica,DMA,0,0,0,0,0,0,0.647963343,0.785799084,0.924674586,1.144459386,1.722183154,11.06804479,17.43832908,33.95186845,59.49235691,73.71494996,101.1458481,125.7150929,128.3805708,138.7402107,148.3370101,152.5524853,152.4747503,129.9598628,102.1357183,106.2933407,107.4325157
Denmark,DNK,2.88347134,3.413512849,4.081427044,6.889123885,9.661657764,15.71430701,25.05702382,27.36597973,36.44494478,49.41497271,63.00812452,73.95702529,83.40020495,88.56084311,95.70911343,100.5816868,107.1170645,115.3715804,119.3024732,123.6993991,115.669923,128.661526,130.2798977,125.1295938,126.9503442,125.0370073,122.8939236
Dominican Republic,DOM,0.043698337,0.075821226,0.095352766,0.134804055,0.267922366,0.701670075,1.016767731,1.714916352,2.494884143,4.977015979,8.142637879,14.43390143,19.032561,23.06075038,27.52205864,38.77928523,48.58664735,57.33593759,73.95219275,87.30861627,88.7787084,86.43207979,86.93709732,88.43350015,78.86382636,82.5867021,80.83152181
Algeria,DZA,0.001791178,0.017777422,0.017363261,0.016979454,0.004688247,0.016001794,0.039202273,0.057339703,0.05840281,0.230206295,0.27112703,0.311040075,1.382262358,4.384169991,14.59120666,40.22671305,60.85091077,78.53288666,75.6646235,89.95836607,88.44487548,94.31443964,97.52089467,100.7877205,108.4380562,106.3843412,117.0201102
East Asia & Pacific (excluding high income),EAP,0.011397838,0.021702255,0.042832306,0.091276359,0.182546738,0.382200086,0.670649276,1.116128529,1.730428954,2.983739405,5.715763227,9.755634224,14.08030185,18.49917843,23.56947995,28.14687957,33.7924501,42.56811922,52.38219007,60.6524073,69.92416115,79.87846384,88.68077413,95.68772195,100.7837335,101.3649043,107.2224257
Early-demographic dividend,EAR,0.009222367,0.019028089,0.034290534,0.053477298,0.102427571,0.183785832,0.345707682,0.651651078,1.049791666,1.887530108,3.290524631,4.682102734,6.084134909,8.354933943,11.73812355,17.37146927,25.49975121,35.03480717,45.63990503,56.25815829,68.87953691,78.43386487,80.68365807,84.4554131,87.50803303,90.63662074,96.16582051
East Asia & Pacific,EAS,0.088997187,0.146244753,0.213171109,0.312817357,0.576998231,1.247704152,2.474717191,3.725149931,5.294958888,7.820842028,11.39397119,15.81584052,20.3257929,24.74001751,29.60996318,34.07117549,39.47870679,48.03977794,57.10186039,64.94370914,73.73623434,83.2737837,91.63290721,98.26934195,103.2511485,104.0539066,109.5728099
